,theta,T=1,T=15
0,0.0,24.460389438154444,21.75476711125761
1,0.00614192112138767,24.136853045959324,21.529517627548675
2,0.01228384224277534,24.07062987289818,20.990812944187915
3,0.01842576336416301,23.959531236736144,20.531825930511868
4,0.02456768448555068,23.61248557852624,20.575525190491543
5,0.030709605606938348,22.991589875175872,21.33473921196392
6,0.03685152672832602,22.4353601518854,22.66369189552938
7,0.042993447849713685,22.331139218441415,24.05451547206373
8,0.04913536897110136,22.612221539256016,24.94291903884089
9,0.05527729009248903,22.91148313483968,25.13571749896393
10,0.061419211213876695,23.13845079066765,24.77688634142369
11,0.06756113233526437,23.47428142872536,24.168461381920228
12,0.07370305345665204,23.853586892283815,23.64295831226604
13,0.07984497457803971,23.943418420771405,23.463045113446206
14,0.08598689569942737,23.66025596419238,23.539945958698194
15,0.09212881682081504,23.35762130387656,23.57280239060697
16,0.09827073794220272,23.48794286378494,23.29337161153848
17,0.10441265906359039,24.189960764652813,22.69602827231186
18,0.11055458018497806,25.115990176829833,22.009099080199263
19,0.11669650130636572,25.82461726036074,21.4302735064677
20,0.12283842242775339,26.17684893833852,21.13513548201673
21,0.12898034354914106,26.347309483061622,21.28576236953604
22,0.13512226467052874,26.451292276253067,21.858416872532754
23,0.1412641857919164,26.447129098129167,22.44711714636092
24,0.14740610691330408,26.34027218294539,22.493644559594053
25,0.15354802803469175,26.184534779538073,21.91311578162995
26,0.15968994915607942,26.06419799239059,21.22566588598602
27,0.16583187027746707,26.119545783058985,20.913022457915403
28,0.17197379139885474,26.465759946733975,20.89478193812344
29,0.17811571252024241,26.81546650152467,20.83290421838147
30,0.1842576336416301,26.738679841678653,20.75893272321026
31,0.19039955476301776,26.369595857555275,20.905597202020466
32,0.19654147588440543,26.314030211543344,21.242969320038604
33,0.2026833970057931,26.70473716278003,21.43391851169885
34,0.20882531812718078,27.073044036211726,21.318030873288695
35,0.21496723924856845,27.258888863973088,21.079403160540476
36,0.22110916036995612,27.624184427988215,20.913164430618313
